,ProductCode##OTHER##,A##LENGTH##MILLIMETERS,A2##LENGTH##MILLIMETERS,A3##LENGTH##MILLIMETERS,AB##LENGTH##MILLIMETERS,AC##LENGTH##MILLIMETERS,AD##LENGTH##MILLIMETERS,AG##LENGTH##MILLIMETERS,Apparent Load##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,A-Type Code##LENGTH##MILLIMETERS,B1##LENGTH##MILLIMETERS,B2##LENGTH##MILLIMETERS,BB##LENGTH##MILLIMETERS,C##LENGTH##MILLIMETERS,Category##OTHER##,Clearance area##OTHER##,Dis_D1##LENGTH##MILLIMETERS,Dis_D3##LENGTH##MILLIMETERS,Efficiency Rating##OTHER##,Electric motor output##OTHER##,Enclosure Rating##OTHER##,Flow##PIPING_FLOW##CUBIC_METERS_PER_HOUR,FluidTempMax##PIPING_TEMPERATURE##CELSIUS,FluidTempMin##PIPING_TEMPERATURE##CELSIUS,FluidType##OTHER##,Full Load Amperes##ELECTRICAL_CURRENT##AMPERES,G1##LENGTH##MILLIMETERS,G2##LENGTH##MILLIMETERS,G3##LENGTH##MILLIMETERS,Grey##OTHER##,Gross Weight##FORCE##KILONEWTONS,H for motor##LENGTH##MILLIMETERS,H##LENGTH##MILLIMETERS,H2##LENGTH##MILLIMETERS,H3##LENGTH##MILLIMETERS,H4##LENGTH##MILLIMETERS,HA##LENGTH##MILLIMETERS,Has clearance area##OTHER##,Head##PIPING_PRESSURE##BARS,L##LENGTH##MILLIMETERS,L1##LENGTH##MILLIMETERS,L2##LENGTH##MILLIMETERS,L3##LENGTH##MILLIMETERS,L4##LENGTH##MILLIMETERS,LB##LENGTH##MILLIMETERS,Light blcak##OTHER##,Light red##OTHER##,LL##LENGTH##MILLIMETERS,Load Classification##OTHER##,M1##LENGTH##MILLIMETERS,Maximum ambient temperature at maximum temperature of pumped medium##OTHER##,Maximum Motor Power Rating##ELECTRICAL_APPARENT_POWER##KILOWATTS,Maximum Operating Temperature##PIPING_TEMPERATURE##CELSIUS,Maximum shaft output##OTHER##,Maximum Speed##OTHER##,Maximum Starting Current##ELECTRICAL_CURRENT##AMPERES,MCA##ELECTRICAL_CURRENT##AMPERES,Minimum operating temperature##PIPING_TEMPERATURE##CELSIUS,Minimum Speed##OTHER##,MOCP##ELECTRICAL_CURRENT##AMPERES,Motor Type##OTHER##,MotorVoltageActual##ELECTRICAL_POTENTIAL##VOLTS,N1##LENGTH##MILLIMETERS,Net Weight##FORCE##KILONEWTONS,O&M Manual##OTHER##,PowerFactor##OTHER##,PumpFlowActual##PIPING_FLOW##CUBIC_METERS_PER_HOUR,PumpFlowCALC##PIPING_FLOW##CUBIC_METERS_PER_HOUR,Rated Load Amperes##ELECTRICAL_CURRENT##AMPERES,Shipping Weight##FORCE##KILONEWTONS,Show Annotative Symbol##OTHER##,Size##OTHER##,Suc_D1##LENGTH##MILLIMETERS,Suc_D3##LENGTH##MILLIMETERS,SupplyFrequency##ELECTRICAL_FREQUENCY##HERTZ,SupplyPhase##OTHER##,SupplyVoltage##ELECTRICAL_POTENTIAL##VOLTS,Switching frequency##OTHER##,T1##LENGTH##MILLIMETERS,T2##LENGTH##MILLIMETERS,V1##LENGTH##MILLIMETERS,V3##LENGTH##MILLIMETERS,V4##LENGTH##MILLIMETERS,Wattage##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,X##LENGTH##MILLIMETERS
NK 65-210/173_93513161,93513161,100,72.5,0,200,208,168,110,0,3,299,343,198,63,0,Clearance Areas,65,185,4,2.2,F,55.02,120,-25,0,4.49,149,182,0,Grey,1.51907,100,96,225,276,444,15,1,0.882,894.5,805,162,481,0,420,light black,light red,102,0,125,40,2.2,40,0,1435,8.17,0,-15,0,0,0,400,320,1.27218,http://product-selection.grundfos.com/product-detail.html?productnumber=93513161&custid=GMA,0.79,55.02,55.02,4.49,1.51907,1,490,80,200,50,3,400,50,20,15,0,0,0,2200,140
NK 80-380/375_93513162,93513162,125,90,0,320,330,255,170,0,3,394,455,265,108,0,Clearance Areas,80,200,3,7.5,F,86.7,120,-25,0,15.4,269,287,0,Grey,4.37058,160,100,355,380,640,20,1,1.7346,1279,1105,162,781,0,620,light black,light red,160,0,160,40,7.5,40,0,970,16.2,0,-15,0,0,0,690,435,3.82369,http://product-selection.grundfos.com/product-detail.html?productnumber=93513162&custid=GMA,0.79,86.7,86.7,15.4,4.37058,1,1125,100,220,50,3,690,50,20,15,0,0,0,7500,180
NK 65-210/225_93513163,93513163,100,72.5,0,200,208,168,110,0,3,299,343,198,63,0,Clearance Areas,65,185,4,1.5,F,47.6,120,-25,0,3.55,149,182,0,Grey,1.52907,100,96,225,276,444,15,1,0.6566,894.5,805,162,481,0,420,light black,light red,102,0,125,40,1.5,40,0,950,6.45,0,-15,0,0,0,400,320,1.28218,http://product-selection.grundfos.com/product-detail.html?productnumber=93513163&custid=GMA,0.71,47.6,47.6,3.55,1.52907,1,490,80,200,50,3,400,50,20,15,0,0,0,1500,140
NK 80-380/344_93513164,93513164,125,90,0,270,275,210,125,0,3,394,455,225,89,0,Clearance Areas,80,200,3,5.5,F,73.34,120,-25,0,12,269,287,0,Grey,3.8079,132,100,355,380,593,18,1,1.421,1169,1015,162,691,0,510,light black,light red,115,0,160,40,5.5,40,0,960,12.7,0,-15,0,0,0,690,435,3.28101,http://product-selection.grundfos.com/product-detail.html?productnumber=93513164&custid=GMA,0.75,73.34,73.34,12,3.8079,1,1093,100,220,50,3,690,50,20,15,0,0,0,5500,180
NK 65-210/207_93513165,93513165,100,72.5,0,172,177,154,110,0,3,296,346,175,56,0,Clearance Areas,65,185,4,1.1,F,44.81,120,-25,0,2.68,149,182,0,Grey,1.34148,90,79,225,259,413,12,1,0.5586,844.5,765,162,441,0,370,light black,light red,102,0,125,40,1.1,40,0,945,4.88,0,-15,0,0,0,400,320,1.11459,http://product-selection.grundfos.com/product-detail.html?productnumber=93513165&custid=GMA,0.7,44.81,44.81,2.68,1.34148,1,428,80,200,50,3,400,50,20,15,0,0,0,1100,140
NK 150-350/332_93513166,93513166,160,110,0,550,580,410,257,0,3,627,694,485,190,0,Clearance Areas,150,285,3,75,F,470.9,120,-25,0,129,255,314,0,Grey,10.45872,280,178,400,458,858,35,1,3.1458,1664,1415,166,1083,0,970,light black,light red,227,0,200,40,75,40,0,1485,136,0,-15,0,0,0,690,550,9.54385,http://product-selection.grundfos.com/product-detail.html?productnumber=93513166&custid=GMA,0.88,470.9,470.9,129,10.45872,1,1935,200,340,50,3,690,50,20,15,0,0,0,75000,180
NK 65-210/183_93513167,93513167,100,72.5,0,172,177,154,110,0,3,296,346,153,56,0,Clearance Areas,65,185,4,0.75,F,38.96,120,-25,0,1.87,149,182,0,Grey,1.29298,90,79,225,259,413,12,1,0.4312,819.5,735,162,411,0,345,light black,light red,102,0,125,40,0.75,40,0,940,3.4,0,-15,0,0,0,400,320,1.06609,http://product-selection.grundfos.com/product-detail.html?productnumber=93513167&custid=GMA,0.7,38.96,38.96,1.87,1.29298,1,428,80,200,50,3,400,50,20,15,0,0,0,750,140
NK 200-300/306_93513168,93513168,160,110,0,490,510,370,265,0,3,670,737,445,168,0,Clearance Areas,200,340,3,55,F,574.04,120,-25,0,103,253,341,0,Grey,9.06037,250,180,400,530,895,30,1,2.401,1639,1390,166,1058,0,920,light black,light red,235,0,200,40,55,40,0,1480,103,0,-15,0,0,0,690,625,8.08348,http://product-selection.grundfos.com/product-detail.html?productnumber=93513168&custid=GMA,0.86,574.04,574.04,103,9.06037,1,2079,250,395,50,3,690,50,20,15,0,0,0,55000,200
NK 65-210/225_93513169,93513169,100,72.5,0,395,420,305,220,0,3,460,505,370,133,0,Clearance Areas,65,185,3,37,F,145.65,120,-25,0,64,149,182,0,Grey,4.24861,200,156,225,336,641,25,1,6.2524,1282.5,1090,164,762,0,770,light black,light red,200,0,125,40,37,40,0,2960,66.1,0,-15,0,0,0,690,320,3.79374,http://product-selection.grundfos.com/product-detail.html?productnumber=93513169&custid=GMA,0.89,145.65,145.65,64,4.24861,1,935,80,200,50,3,690,50,20,15,0,0,0,37000,140
NK 65-210/170_93513170,93513170,100,72.5,0,157,163,141,96,0,3,296,346,146,50,0,Clearance Areas,65,185,4,0.55,F,34.42,120,-25,0,2.7,149,182,0,Grey,1.24244,80,79,225,259,400,10,1,0.3626,794.5,685,162,361,0,320,light black,light red,90,0,125,40,0.55,40,0,930,2.56,0,-15,0,0,0,418,320,1.01555,http://product-selection.grundfos.com/product-detail.html?productnumber=93513170&custid=GMA,0.7,34.42,34.42,2.7,1.24244,1,428,80,200,50,3,418,50,20,15,0,0,0,550,140
