,ProductCode##OTHER##,A##LENGTH##MILLIMETERS,A2##LENGTH##MILLIMETERS,A3##LENGTH##MILLIMETERS,AB##LENGTH##MILLIMETERS,AC##LENGTH##MILLIMETERS,AD##LENGTH##MILLIMETERS,AG##LENGTH##MILLIMETERS,Apparent Load##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,A-Type Code##LENGTH##MILLIMETERS,B1##LENGTH##MILLIMETERS,B2##LENGTH##MILLIMETERS,BB##LENGTH##MILLIMETERS,C##LENGTH##MILLIMETERS,Category##OTHER##,Clearance area##OTHER##,Dis_D1##LENGTH##MILLIMETERS,Dis_D3##LENGTH##MILLIMETERS,Efficiency Rating##OTHER##,Electric motor output##OTHER##,Enclosure Rating##OTHER##,Flow##PIPING_FLOW##CUBIC_METERS_PER_HOUR,FluidTempMax##PIPING_TEMPERATURE##CELSIUS,FluidTempMin##PIPING_TEMPERATURE##CELSIUS,FluidType##OTHER##,Full Load Amperes##ELECTRICAL_CURRENT##AMPERES,G1##LENGTH##MILLIMETERS,G2##LENGTH##MILLIMETERS,G3##LENGTH##MILLIMETERS,Grey##OTHER##,Gross Weight##FORCE##KILONEWTONS,H for motor##LENGTH##MILLIMETERS,H##LENGTH##MILLIMETERS,H2##LENGTH##MILLIMETERS,H3##LENGTH##MILLIMETERS,H4##LENGTH##MILLIMETERS,HA##LENGTH##MILLIMETERS,Has clearance area##OTHER##,Head##PIPING_PRESSURE##BARS,L##LENGTH##MILLIMETERS,L1##LENGTH##MILLIMETERS,L2##LENGTH##MILLIMETERS,L3##LENGTH##MILLIMETERS,L4##LENGTH##MILLIMETERS,LB##LENGTH##MILLIMETERS,Light blcak##OTHER##,Light red##OTHER##,LL##LENGTH##MILLIMETERS,Load Classification##OTHER##,M1##LENGTH##MILLIMETERS,Maximum ambient temperature at maximum temperature of pumped medium##OTHER##,Maximum Motor Power Rating##ELECTRICAL_APPARENT_POWER##KILOWATTS,Maximum Operating Temperature##PIPING_TEMPERATURE##CELSIUS,Maximum shaft output##OTHER##,Maximum Speed##OTHER##,Maximum Starting Current##ELECTRICAL_CURRENT##AMPERES,MCA##ELECTRICAL_CURRENT##AMPERES,Minimum operating temperature##PIPING_TEMPERATURE##CELSIUS,Minimum Speed##OTHER##,MOCP##ELECTRICAL_CURRENT##AMPERES,Motor Type##OTHER##,MotorVoltageActual##ELECTRICAL_POTENTIAL##VOLTS,N1##LENGTH##MILLIMETERS,Net Weight##FORCE##KILONEWTONS,O&M Manual##OTHER##,PowerFactor##OTHER##,PumpFlowActual##PIPING_FLOW##CUBIC_METERS_PER_HOUR,PumpFlowCALC##PIPING_FLOW##CUBIC_METERS_PER_HOUR,Rated Load Amperes##ELECTRICAL_CURRENT##AMPERES,Shipping Weight##FORCE##KILONEWTONS,Show Annotative Symbol##OTHER##,Size##OTHER##,Suc_D1##LENGTH##MILLIMETERS,Suc_D3##LENGTH##MILLIMETERS,SupplyFrequency##ELECTRICAL_FREQUENCY##HERTZ,SupplyPhase##OTHER##,SupplyVoltage##ELECTRICAL_POTENTIAL##VOLTS,Switching frequency##OTHER##,T1##LENGTH##MILLIMETERS,T2##LENGTH##MILLIMETERS,V1##LENGTH##MILLIMETERS,V3##LENGTH##MILLIMETERS,V4##LENGTH##MILLIMETERS,Wattage##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,X##LENGTH##MILLIMETERS
NK 32-160/177_98970334,98970334,80,60,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,32,140,IE3,5.5,F,33.57,120,-25,0,9.9,117,125,0,Grey,1.68,132,80,160,215,417,15,1,3.508694,901,978,190,598,0,395,light black,light red,130,0,100,55,5.5,55,0,2950,9.9,0,-20,0,0,0,220,240,1.47,http://product-selection.grundfos.com/product-detail.html?productnumber=98970334&custid=GMA,0.81,33.57,33.57,9.9,1.68,1,393,50,165,50,3,220,50,20,15,0,0,0,5500,100
NK 32-200.1/172_98970335,98970335,80,60,0,196,198,166,132,0,3,340,450,176,63,0,Clearance Areas,32,140,IE3,3,F,18.22,120,-25,0,5.6,135,137,0,Grey,1.7,100,80,180,240,406,12,1,2.732338,866.5,929,170,589,0,370.5,light black,light red,112,0,100,55,3,55,0,2920,5.6,0,-20,0,0,0,380,240,1.3,http://product-selection.grundfos.com/product-detail.html?productnumber=98970335&custid=GMA,0.92,18.22,18.22,5.6,1.7,1,674,50,165,50,3,380,50,20,15,0,0,0,3000,100
NK 32-200.1/188_98970336,98970336,80,60,0,226,222,177,135,0,3,340,450,176,70,0,Clearance Areas,32,140,IE3,4,F,20.34,120,-25,0,7.4,135,137,0,Grey,1.56,112,80,180,240,417,12,1,3.52898,849.5,929,170,589,0,354,light black,light red,112,0,100,55,4,55,0,2950,7.4,0,-20,0,0,0,380,240,1.42,http://product-selection.grundfos.com/product-detail.html?productnumber=98970336&custid=GMA,0.91,20.34,20.34,7.4,1.56,1,306,50,165,50,3,380,50,20,15,0,0,0,4000,100
NK 32-200.1/205_98970337,98970337,80,60,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,32,140,IE3,5.5,F,22.48,120,-25,0,9.9,135,137,0,Grey,1.81,132,80,180,240,442,15,1,4.43156,900.5,978,190,598,0,395,light black,light red,130,0,100,55,5.5,55,0,2950,9.9,0,-20,0,0,0,380,240,1.6,http://product-selection.grundfos.com/product-detail.html?productnumber=98970337&custid=GMA,0.91,22.48,22.48,9.9,1.81,1,410,50,165,50,3,380,50,20,15,0,0,0,5500,100
NK 32-200.1/207_98970338,98970338,80,60,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,32,140,IE3,7.5,F,22.99,120,-25,0,13.1,135,137,0,Grey,1.95,132,80,180,240,442,15,1,4.553276,950.5,978,190,598,0,445,light black,light red,130,0,100,55,7.5,55,0,2950,13.1,0,-20,0,0,0,380,240,1.74,http://product-selection.grundfos.com/product-detail.html?productnumber=98970338&custid=GMA,0.91,22.99,22.99,13.1,1.95,1,410,50,165,50,3,380,50,20,15,0,0,0,7500,100
NK 32-200/176_98970339,98970339,80,60,0,226,222,177,135,0,3,340,450,176,70,0,Clearance Areas,32,140,IE3,4,F,27.97,120,-25,0,7.4,124,145,0,Grey,1.55,112,80,180,240,417,12,1,3.001642,849.5,929,170,589,0,354,light black,light red,112,0,100,55,4,55,0,2950,7.4,0,-20,0,0,0,380,240,1.41,http://product-selection.grundfos.com/product-detail.html?productnumber=98970339&custid=GMA,0.86,27.97,27.97,7.4,1.55,1,306,50,165,50,3,380,50,20,15,0,0,0,4000,100
NK 32-200/190_98970340,98970340,80,60,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,32,140,IE3,5.5,F,29.91,120,-25,0,9.9,124,145,0,Grey,1.81,132,80,180,240,442,15,1,3.772412,900.5,978,190,598,0,395,light black,light red,130,0,100,55,5.5,55,0,2950,9.9,0,-20,0,0,0,380,240,1.6,http://product-selection.grundfos.com/product-detail.html?productnumber=98970340&custid=GMA,0.85,29.91,29.91,9.9,1.81,1,410,50,165,50,3,380,50,20,15,0,0,0,5500,100
NK 32-200/206_98970351,98970351,80,60,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,32,140,IE3,7.5,F,34.08,120,-25,0,13.1,124,145,0,Grey,1.95,132,80,180,240,442,15,1,4.644514,950.5,978,190,598,0,445,light black,light red,130,0,100,55,7.5,55,0,2950,13.1,0,-20,0,0,0,380,240,1.74,http://product-selection.grundfos.com/product-detail.html?productnumber=98970351&custid=GMA,0.85,34.08,34.08,13.1,1.95,1,410,50,165,50,3,380,50,20,15,0,0,0,7500,100
NK 32-200/219_98970352,98970352,80,60,0,300,314,236.5,175,0,3,430,540,300,108,0,Clearance Areas,32,140,IE3,11,F,36.28,120,-25,0,19.6,124,145,0,Grey,2.17,160,80,180,245,482,18,1,5.484472,1039.5,1175,205,765,0,501,light black,light red,145,0,100,55,11,55,0,2955,19.6,0,-20,0,0,0,380,240,2.02,http://product-selection.grundfos.com/product-detail.html?productnumber=98970352&custid=GMA,0.85,36.28,36.28,19.6,2.17,1,492,50,165,50,3,380,50,20,15,0,0,0,11000,100
NK 32-250/199_98970353,98970353,100,75,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,32,140,IE3,5.5,F,19.12,120,-25,0,9.9,162,164,0,Grey,1.96,132,80,225,260,462,15,1,4.19832,920.5,978,190,598,0,395,light black,light red,130,0,125,55,5.5,55,0,2950,9.9,0,-20,0,0,0,380,320,1.75,http://product-selection.grundfos.com/product-detail.html?productnumber=98970353&custid=GMA,0.85,19.12,19.12,9.9,1.96,1,440,50,165,50,3,380,50,20,15,0,0,0,5500,100
NK 32-250/219_98970354,98970354,100,75,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,32,140,IE3,7.5,F,21.87,120,-25,0,13.1,162,164,0,Grey,2.1,132,80,225,260,462,15,1,5.080516,970.5,978,190,598,0,445,light black,light red,130,0,125,55,7.5,55,0,2950,13.1,0,-20,0,0,0,380,320,1.89,http://product-selection.grundfos.com/product-detail.html?productnumber=98970354&custid=GMA,0.85,21.87,21.87,13.1,2.1,1,440,50,165,50,3,380,50,20,15,0,0,0,7500,100
NK 32-250/244_98970356,98970356,100,75,0,300,314,236.5,175,0,3,430,540,300,108,0,Clearance Areas,32,140,IE3,11,F,25.37,120,-25,0,19.6,162,164,0,Grey,2.32,160,80,225,260,497,18,1,6.512198,1059.5,1143,205,733,0,501,light black,light red,145,0,125,55,11,55,0,2955,19.6,0,-20,0,0,0,380,320,2.17,http://product-selection.grundfos.com/product-detail.html?productnumber=98970356&custid=GMA,0.88,25.37,25.37,19.6,2.32,1,504,50,165,50,3,380,50,20,15,0,0,0,11000,100
NK 32-250/262_98970357,98970357,100,75,0,300,314,236.5,175,0,3,430,540,300,108,0,Clearance Areas,32,140,IE3,15,F,27.15,120,-25,0,27,162,164,0,Grey,2.41,160,80,225,260,497,18,1,7.871654,1059.5,1143,205,733,0,564,light black,light red,145,0,125,55,15,55,0,2960,27,0,-20,0,0,0,380,320,2.26,http://product-selection.grundfos.com/product-detail.html?productnumber=98970357&custid=GMA,0.85,27.15,27.15,27,2.41,1,504,50,165,50,3,380,50,20,15,0,0,0,15000,100
NK 40-125/105_98970358,98970358,80,60,0,165,178,126,93,0,3,300,390,143,56,0,Clearance Areas,40,150,IE3,1.5,F,37.33,120,-25,0,3,117,118,0,Grey,1.35,90,65,140,180,306,10,1,0.986762,783,804,150,504,0,297,light black,light red,79,0,100,55,1.5,55,0,2910,3,0,-20,0,0,0,380,210,0.95,http://product-selection.grundfos.com/product-detail.html?productnumber=98970358&custid=GMA,0.86,37.33,37.33,3,1.35,1,674,65,185,50,3,380,50,20,15,0,0,0,1500,100
NK 40-125/116_98970359,98970359,80,60,0,165,178,126,93,0,3,300,390,143,56,0,Clearance Areas,40,150,IE3,2.2,F,42.65,120,-25,0,4.2,117,118,0,Grey,1.39,90,65,140,180,306,10,1,1.233428,783,804,150,504,0,297,light black,light red,79,0,100,55,2.2,55,0,2910,4.2,0,-20,0,0,0,380,210,0.99,http://product-selection.grundfos.com/product-detail.html?productnumber=98970359&custid=GMA,0.85,42.65,42.65,4.2,1.39,1,674,65,185,50,3,380,50,20,15,0,0,0,2200,100
NK 40-125/127_98970361,98970361,80,60,0,196,198,166,132,0,3,300,390,176,63,0,Clearance Areas,40,150,IE3,3,F,45.21,120,-25,0,5.6,117,118,0,Grey,1.44,100,65,140,177,343,12,1,1.589658,867,804,150,504,0,370.5,light black,light red,112,0,100,55,3,55,0,2920,5.6,0,-20,0,0,0,380,210,1.04,http://product-selection.grundfos.com/product-detail.html?productnumber=98970361&custid=GMA,0.85,45.21,45.21,5.6,1.44,1,674,65,185,50,3,380,50,20,15,0,0,0,3000,100
NK 40-125/139_98970362,98970362,80,60,0,226,222,177,135,0,3,340,450,176,70,0,Clearance Areas,40,150,IE3,4,F,44.86,120,-25,0,7.4,117,118,0,Grey,1.37,112,80,140,195,372,12,1,2.170112,850,929,170,589,0,354,light black,light red,112,0,100,55,4,55,0,2950,7.4,0,-20,0,0,0,380,210,1.24,http://product-selection.grundfos.com/product-detail.html?productnumber=98970362&custid=GMA,0.85,44.86,44.86,7.4,1.37,1,279,65,185,50,3,380,50,20,15,0,0,0,4000,100
NK 40-125/142_98970363,98970363,80,60,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,40,150,IE3,5.5,F,46.28,120,-25,0,9.9,117,118,0,Grey,1.72,132,80,140,217,419,15,1,2.251256,901,978,190,598,0,395,light black,light red,130,0,100,55,5.5,55,0,2950,9.9,0,-20,0,0,0,380,210,1.51,http://product-selection.grundfos.com/product-detail.html?productnumber=98970363&custid=GMA,0.85,46.28,46.28,9.9,1.72,1,394,65,185,50,3,380,50,20,15,0,0,0,5500,100
NK 40-160/144_98970364,98970364,80,60,0,226,222,177,135,0,3,340,450,176,70,0,Clearance Areas,40,150,IE3,4,F,39.67,120,-25,0,7.4,117,133,0,Grey,1.42,112,80,160,212,389,12,1,2.372972,850,929,170,589,0,354,light black,light red,112,0,100,55,4,55,0,2950,7.4,0,-20,0,0,0,380,240,1.28,http://product-selection.grundfos.com/product-detail.html?productnumber=98970364&custid=GMA,0.85,39.67,39.67,7.4,1.42,1,289,65,185,50,3,380,50,20,15,0,0,0,4000,100
NK 40-160/158_98970365,98970365,80,60,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,40,150,IE3,5.5,F,44.76,120,-25,0,9.9,117,133,0,Grey,1.69,132,80,160,215,417,15,1,2.950976,901,978,190,598,0,395,light black,light red,130,0,100,55,5.5,55,0,2950,9.9,0,-20,0,0,0,380,240,1.48,http://product-selection.grundfos.com/product-detail.html?productnumber=98970365&custid=GMA,0.88,44.76,44.76,9.9,1.69,1,393,65,185,50,3,380,50,20,15,0,0,0,5500,100
NK 40-160/172_98970367,98970367,80,60,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,40,150,IE3,7.5,F,48.73,120,-25,0,13.1,117,133,0,Grey,1.83,132,80,160,215,417,15,1,3.660888,951,978,190,598,0,445,light black,light red,130,0,100,55,7.5,55,0,2950,13.1,0,-20,0,0,0,380,240,1.63,http://product-selection.grundfos.com/product-detail.html?productnumber=98970367&custid=GMA,0.85,48.73,48.73,13.1,1.83,1,393,65,185,50,3,380,50,20,15,0,0,0,7500,100
NK 40-160/177_98970368,98970368,80,60,0,300,314,236.5,175,0,3,430,540,300,108,0,Clearance Areas,40,150,IE3,11,F,50.74,120,-25,0,19.6,117,133,0,Grey,2.15,160,80,160,245,482,18,1,3.876782,1040,1175,205,765,0,501,light black,light red,145,0,100,55,11,55,0,2955,19.6,0,-20,0,0,0,380,240,2,http://product-selection.grundfos.com/product-detail.html?productnumber=98970368&custid=GMA,0.86,50.74,50.74,19.6,2.15,1,492,65,185,50,3,380,50,20,15,0,0,0,11000,100
NK 40-200/172_98970369,98970369,100,60,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,40,150,IE3,5.5,F,42.93,120,-25,0,9.9,140,157,0,Grey,1.83,132,80,180,240,442,15,1,2.961168,920.5,978,190,598,0,395,light black,light red,130,0,100,55,5.5,55,0,2950,9.9,0,-20,0,0,0,380,265,1.62,http://product-selection.grundfos.com/product-detail.html?productnumber=98970369&custid=GMA,0.91,42.93,42.93,9.9,1.83,1,410,65,185,50,3,380,50,20,15,0,0,0,5500,100
NK 40-200/188_98970370,98970370,100,60,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,40,150,IE3,7.5,F,48.83,120,-25,0,13.1,140,157,0,Grey,1.97,132,80,180,240,442,15,1,3.610124,970.5,978,190,598,0,445,light black,light red,130,0,100,55,7.5,55,0,2950,13.1,0,-20,0,0,0,380,265,1.77,http://product-selection.grundfos.com/product-detail.html?productnumber=98970370&custid=GMA,0.91,48.83,48.83,13.1,1.97,1,410,65,185,50,3,380,50,20,15,0,0,0,7500,100
NK 40-200/206_98970371,98970371,100,60,0,300,314,236.5,175,0,3,430,540,300,108,0,Clearance Areas,40,150,IE3,11,F,56.04,120,-25,0,19.6,140,157,0,Grey,2.19,160,80,180,245,482,18,1,4.456746,1059.5,1175,205,765,0,501,light black,light red,145,0,100,55,11,55,0,2955,19.6,0,-20,0,0,0,380,265,2.04,http://product-selection.grundfos.com/product-detail.html?productnumber=98970371&custid=GMA,0.9,56.04,56.04,19.6,2.19,1,492,65,185,50,3,380,50,20,15,0,0,0,11000,100
NK 40-200/219_98970372,98970372,100,60,0,300,314,236.5,175,0,3,430,540,300,108,0,Clearance Areas,40,150,IE3,15,F,60.73,120,-25,0,27,140,157,0,Grey,2.29,160,80,180,245,482,18,1,5.186552,1059.5,1175,205,765,0,564,light black,light red,145,0,100,55,15,55,0,2960,27,0,-20,0,0,0,380,265,2.14,http://product-selection.grundfos.com/product-detail.html?productnumber=98970372&custid=GMA,0.85,60.73,60.73,27,2.29,1,492,65,185,50,3,380,50,20,15,0,0,0,15000,100
NK 40-250/211_98970373,98970373,100,75,0,300,314,236.5,175,0,3,430,540,300,108,0,Clearance Areas,40,150,IE3,11,F,50.44,120,-25,0,19.6,164,172,0,Grey,2.31,160,80,225,260,497,18,1,5.12834,1059.5,1143,205,733,0,501,light black,light red,145,0,125,55,11,55,0,2955,19.6,0,-20,0,0,0,380,320,2.16,http://product-selection.grundfos.com/product-detail.html?productnumber=98970373&custid=GMA,0.85,50.44,50.44,19.6,2.31,1,504,65,185,50,3,380,50,20,15,0,0,0,11000,100
NK 40-250/230_98970374,98970374,100,75,0,300,314,236.5,175,0,3,430,540,300,108,0,Clearance Areas,40,150,IE3,15,F,58.18,120,-25,0,27,164,172,0,Grey,2.4,160,80,225,260,497,18,1,6.095208,1059.5,1143,205,733,0,564,light black,light red,145,0,125,55,15,55,0,2960,27,0,-20,0,0,0,380,320,2.25,http://product-selection.grundfos.com/product-detail.html?productnumber=98970374&custid=GMA,0.82,58.18,58.18,27,2.4,1,504,65,185,50,3,380,50,20,15,0,0,0,15000,100
NK 40-250/245_98970375,98970375,100,75,0,300,314,236.5,175,0,3,430,540,300,108,0,Clearance Areas,40,150,IE3,18.5,F,65.01,120,-25,0,32,164,172,0,Grey,2.5,160,80,225,260,497,18,1,7.42791,1119.5,1143,205,733,0,564,light black,light red,145,0,125,55,18.5,55,0,2955,32,0,-20,0,0,0,380,320,2.35,http://product-selection.grundfos.com/product-detail.html?productnumber=98970375&custid=GMA,0.91,65.01,65.01,32,2.5,1,504,65,185,50,3,380,50,20,15,0,0,0,18500,100
NK 40-250/255_98970376,98970376,100,75,0,339,356,286,189,0,3,430,540,328,121,0,Clearance Areas,40,150,IE3,22,F,65.51,120,-25,0,38.5,164,172,0,Grey,3.37,180,80,225,265,551,20,1,7.69692,1129.5,1143,205,733,0,588,light black,light red,164,0,125,55,22,55,0,2950,38.5,0,-20,0,0,0,380,320,3.1,http://product-selection.grundfos.com/product-detail.html?productnumber=98970376&custid=GMA,0.9,65.51,65.51,38.5,3.37,1,688,65,185,50,3,380,50,20,15,0,0,0,22000,100
NK 40-250/260_98970378,98970378,100,75,0,378,396,315,265,0,3,530,660,355,133,0,Clearance Areas,40,150,IE3,30,F,67.25,120,-25,0,53,164,172,0,Grey,4.42,200,100,225,305,620,25,1,8.099504,1189.5,1464,270,924,0,611,light black,light red,197,0,125,55,30,55,0,2955,53,0,-20,0,0,0,380,320,4.15,http://product-selection.grundfos.com/product-detail.html?productnumber=98970378&custid=GMA,0.91,67.25,67.25,53,4.42,1,962,65,185,50,3,380,50,20,15,0,0,0,30000,100
NK 40-315/273_98970379,98970379,125,75,0,339,356,286,189,0,3,430,540,328,121,0,Clearance Areas,40,150,IE3,22,F,35.6,120,-25,0,38.5,200,206,0,Grey,3.88,180,80,250,280,566,20,1,7.62587,1258,1143,205,733,0,588,light black,light red,164,0,125,55,22,55,0,2950,38.5,0,-20,0,0,0,380,345,3.61,http://product-selection.grundfos.com/product-detail.html?productnumber=98970379&custid=GMA,0.91,35.6,35.6,38.5,3.88,1,703,65,185,50,3,380,50,20,15,0,0,0,22000,100
NK 40-315/298_98970380,98970380,125,75,0,378,396,315,265,0,3,530,660,355,133,0,Clearance Areas,40,150,IE3,30,F,39.84,120,-25,0,53,200,206,0,Grey,4.85,200,100,250,305,620,25,1,9.290008,1311,1464,270,924,0,611,light black,light red,197,0,125,55,30,55,0,2955,53,0,-20,0,0,0,380,345,4.58,http://product-selection.grundfos.com/product-detail.html?productnumber=98970380&custid=GMA,0.9,39.84,39.84,53,4.85,1,962,65,185,50,3,380,50,20,15,0,0,0,30000,100
NK 40-315/318_98970381,98970381,125,75,0,378,396,315,265,0,3,530,660,355,133,0,Clearance Areas,40,150,IE3,37,F,44.83,120,-25,0,65,200,206,0,Grey,5.16,200,100,250,305,620,25,1,10.704344,1336,1464,270,924,0,636,light black,light red,197,0,125,55,37,55,0,2955,65,0,-20,0,0,0,380,345,4.89,http://product-selection.grundfos.com/product-detail.html?productnumber=98970381&custid=GMA,0.91,44.83,44.83,65,5.16,1,962,65,185,50,3,380,50,20,15,0,0,0,37000,100
NK 40-315/336_98970383,98970383,125,75,0,436,449,338,266,0,3,530,660,361,149,0,Clearance Areas,40,150,IE3,45,F,46.95,120,-25,0,78,200,206,0,Grey,5.97,225,100,250,330,668,34,1,12.721282,1408,1464,270,924,0,710,light black,light red,197,0,125,55,45,55,0,2960,78,0,-20,0,0,0,380,345,5.7,http://product-selection.grundfos.com/product-detail.html?productnumber=98970383&custid=GMA,0.9,46.95,46.95,78,5.97,1,1022,65,185,50,3,380,50,20,15,0,0,0,45000,100
NK 50-125/111_98970384,98970384,100,60,0,196,198,166,132,0,3,340,450,176,63,0,Clearance Areas,50,165,IE3,3,F,61.82,120,-25,0,5.6,117,130,0,Grey,1.65,100,80,160,212,378,12,1,1.122688,887,929,170,589,0,370.5,light black,light red,112,0,100,55,3,55,0,2920,5.6,0,-20,0,0,0,380,240,1.25,http://product-selection.grundfos.com/product-detail.html?productnumber=98970384&custid=GMA,0.91,61.82,61.82,5.6,1.65,1,674,65,185,50,3,380,50,20,15,0,0,0,3000,100
NK 50-125/121_98970385,98970385,100,60,0,226,222,177,135,0,3,340,450,176,70,0,Clearance Areas,50,165,IE3,4,F,70.19,120,-25,0,7.4,117,130,0,Grey,1.43,112,80,160,212,389,12,1,1.440012,870,929,170,589,0,354,light black,light red,112,0,100,55,4,55,0,2950,7.4,0,-20,0,0,0,380,240,1.3,http://product-selection.grundfos.com/product-detail.html?productnumber=98970385&custid=GMA,0.9,70.19,70.19,7.4,1.43,1,289,65,185,50,3,380,50,20,15,0,0,0,4000,100
NK 50-125/135_98970387,98970387,100,60,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,50,165,IE3,5.5,F,76.5,120,-25,0,9.9,117,130,0,Grey,1.71,132,80,160,215,417,15,1,1.906492,921,978,190,598,0,395,light black,light red,130,0,100,55,5.5,55,0,2950,9.9,0,-20,0,0,0,380,240,1.5,http://product-selection.grundfos.com/product-detail.html?productnumber=98970387&custid=GMA,0.91,76.5,76.5,9.9,1.71,1,393,65,185,50,3,380,50,20,15,0,0,0,5500,100
NK 50-125/144_98970388,98970388,100,60,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,50,165,IE3,7.5,F,81.58,120,-25,0,13.1,117,130,0,Grey,1.85,132,80,160,215,417,15,1,2.251256,971,978,190,598,0,445,light black,light red,130,0,100,55,7.5,55,0,2950,13.1,0,-20,0,0,0,380,240,1.64,http://product-selection.grundfos.com/product-detail.html?productnumber=98970388&custid=GMA,0.91,81.58,81.58,13.1,1.85,1,393,65,185,50,3,380,50,20,15,0,0,0,7500,100
NK 50-160/136_98970389,98970389,100,60,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,50,165,IE3,5.5,F,70.29,120,-25,0,9.9,125,150,0,Grey,1.78,132,80,180,240,442,15,1,2.06878,921,978,190,598,0,395,light black,light red,130,0,100,55,5.5,55,0,2950,9.9,0,-20,0,0,0,380,265,1.57,http://product-selection.grundfos.com/product-detail.html?productnumber=98970389&custid=GMA,0.9,70.29,70.29,9.9,1.78,1,410,65,185,50,3,380,50,20,15,0,0,0,5500,100
NK 50-160/150_98970390,98970390,100,60,0,256,262,202,155,0,3,380,490,218,89,0,Clearance Areas,50,165,IE3,7.5,F,78.12,120,-25,0,13.1,125,150,0,Grey,1.92,132,80,180,240,442,15,1,2.56564,971,978,190,598,0,445,light black,light red,130,0,100,55,7.5,55,0,2950,13.1,0,-20,0,0,0,380,265,1.71,http://product-selection.grundfos.com/product-detail.html?productnumber=98970390&custid=GMA,0.91,78.12,78.12,13.1,1.92,1,410,65,185,50,3,380,50,20,15,0,0,0,7500,100
NK 50-160/167_98970391,98970391,100,60,0,300,314,236.5,175,0,3,430,540,300,108,0,Clearance Areas,50,165,IE3,11,F,89.06,120,-25,0,19.6,125,150,0,Grey,2.14,160,80,180,245,482,18,1,3.317104,1060,1175,205,765,0,501,light black,light red,145,0,100,55,11,55,0,2955,19.6,0,-20,0,0,0,380,265,1.99,http://product-selection.grundfos.com/product-detail.html?productnumber=98970391&custid=GMA,0.9,89.06,89.06,19.6,2.14,1,492,65,185,50,3,380,50,20,15,0,0,0,11000,100
NK 50-160/177_98970392,98970392,100,60,0,300,314,236.5,175,0,3,430,540,300,108,0,Clearance Areas,50,165,IE3,15,F,95.33,120,-25,0,27,125,150,0,Grey,2.23,160,80,180,245,482,18,1,3.838856,1060,1175,205,765,0,564,light black,light red,145,0,100,55,15,55,0,2960,27,0,-20,0,0,0,380,265,2.08,http://product-selection.grundfos.com/product-detail.html?productnumber=98970392&custid=GMA,0.91,95.33,95.33,27,2.23,1,492,65,185,50,3,380,50,20,15,0,0,0,15000,100
NK 50-200/181_98970394,98970394,100,60,0,300,314,236.5,175,0,3,430,540,300,108,0,Clearance Areas,50,165,IE3,11,F,71.02,120,-25,0,19.6,141,162,0,Grey,2.32,160,80,200,245,482,18,1,3.815728,1059.5,1175,205,765,0,501,light black,light red,145,0,100,55,11,55,0,2955,19.6,0,-20,0,0,0,380,265,2.17,http://product-selection.grundfos.com/product-detail.html?productnumber=98970394&custid=GMA,0.9,71.02,71.02,19.6,2.32,1,492,65,185,50,3,380,50,20,15,0,0,0,11000,100
NK 50-200/198_98970395,98970395,100,60,0,300,314,236.5,175,0,3,430,540,300,108,0,Clearance Areas,50,165,IE3,15,F,81.86,120,-25,0,27,141,162,0,Grey,2.42,160,80,200,245,482,18,1,4.604628,1059.5,1175,205,765,0,564,light black,light red,145,0,100,55,15,55,0,2960,27,0,-20,0,0,0,380,265,2.27,http://product-selection.grundfos.com/product-detail.html?productnumber=98970395&custid=GMA,0.91,81.86,81.86,27,2.42,1,492,65,185,50,3,380,50,20,15,0,0,0,15000,100
NK 50-200/210_98970396,98970396,100,60,0,300,314,236.5,175,0,3,430,540,300,108,0,Clearance Areas,50,165,IE3,18.5,F,89.06,120,-25,0,32,141,162,0,Grey,2.52,160,80,200,245,482,18,1,5.20968,1119.5,1175,205,765,0,564,light black,light red,145,0,100,55,18.5,55,0,2955,32,0,-20,0,0,0,380,265,2.37,http://product-selection.grundfos.com/product-detail.html?productnumber=98970396&custid=GMA,0.91,89.06,89.06,32,2.52,1,492,65,185,50,3,380,50,20,15,0,0,0,18500,100
